"Yes","Yes"
"No","No"
"Save And Continue Edit","Save And Continue Edit"
"Id","Id"
"Action","Action"
"Edit","Edit"
"CSV","CSV"
"Excel","Excel"
"XML","XML"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Home","Home"
"None","None"
"Store views","Store views"
"Vendor","Vendor"
"Save Vendor","Save Vendor"
"Delete Vendor","Delete Vendor"
"Edit Vendor '%s'","Edit Vendor '%s'"
"Add Vendor","Add Vendor"
"Vendors","Vendors"
"This vendor no longer exists.","This vendor no longer exists."
"Vendor was successfully saved","Vendor was successfully saved"
"There was a problem saving the vendor.","There was a problem saving the vendor."
"Unable to find vendor to save.","Unable to find vendor to save."
"Vendor was successfully deleted.","Vendor was successfully deleted."
"There was an error deleteing vendor.","There was an error deleteing vendor."
"Could not find vendor to delete.","Could not find vendor to delete."
"Please select vendors to delete.","Please select vendors to delete."
"Total of %d vendors were successfully deleted.","Total of %d vendors were successfully deleted."
"There was an error deleteing vendors.","There was an error deleteing vendors."
"Total of %d vendors were successfully updated.","Total of %d vendors were successfully updated."
"There was an error updating vendors.","There was an error updating vendors."
"Please select vendors.","Please select vendors."
"Name","Name"
"name of the vendor","name of the vendor"
"Total Product","Total Product"
"",""
"Email","Email"
"",""
"Mobile","Mobile"
"",""
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Change status","Change status"
"Associated products","Associated products"
"Position","Position"
